size,naive,better,blas
100,0.005140,0.005570,0.005915
200,0.067337,0.045832,0.013013
300,0.182932,0.131965,0.002076
400,0.460901,0.321991,0.009305
500,1.216325,0.635448,0.041317
600,3.226438,1.155795,0.043044
700,6.662985,1.889399,0.082238
800,9.712004,2.685862,0.108021
900,13.592723,3.936625,0.196274
1000,18.272601,5.057754,0.295720
